CONDITION,DATE,DAY OF WEEK,HIGH TEMP,HUMIDITY,LOW TEMP,PRESSURE,SEA LEVEL,STATION ID,WIND DEGREE DIRECTION,WIND SPEED
light rain,06/10/2019,Mon,88.07,58.0,88.07,1013.53,,4,231.0,15.28
broken clouds,06/10/2019,Mon,92.29,49.0,92.29,1012.38,,4,225.0,19.15
broken clouds,06/05/2019,Wed,87.35,70.0,83.61,1014.44,,5,231.0,8.72
overcast clouds,06/05/2019,Wed,86.45,66.0,83.66,1014.24,,5,149.0,1.7
overcast clouds,06/05/2019,Wed,85.03,72.0,83.17,1015.31,,5,115.0,2.84
overcast clouds,06/06/2019,Thu,83.82,71.0,82.89,1014.49,,5,138.0,5.17
overcast clouds,06/06/2019,Thu,82.13,76.0,82.13,1012.69,,5,128.0,9.91
broken clouds,06/06/2019,Thu,82.13,76.0,82.13,1013.37,,5,134.0,10.2
scattered clouds,06/06/2019,Thu,82.9,73.0,82.9,1014.09,,5,149.0,9.8
scattered clouds,06/06/2019,Thu,83.26,72.0,83.26,1013.44,,5,197.0,9.33
broken clouds,06/06/2019,Thu,83.62,72.0,83.62,1012.11,,5,207.0,9.66
broken clouds,06/06/2019,Thu,83.8,71.0,83.8,1012.15,,5,195.0,4.76
overcast clouds,06/06/2019,Thu,83.39,74.0,83.39,1013.44,,5,150.0,2.59
overcast clouds,06/07/2019,Fri,82.82,71.0,82.82,1012.37,,5,147.0,3.13
overcast clouds,06/07/2019,Fri,82.67,73.0,82.67,1011.2,,5,150.0,7.0
overcast clouds,06/07/2019,Fri,82.67,75.0,82.67,1011.91,,5,152.0,8.77
overcast clouds,06/07/2019,Fri,83.42,74.0,83.42,1012.68,,5,164.0,11.23
overcast clouds,06/07/2019,Fri,83.6,75.0,83.6,1012.16,,5,186.0,12.46
broken clouds,06/07/2019,Fri,84.1,76.0,84.1,1010.34,,5,202.0,11.3
overcast clouds,06/07/2019,Fri,84.47,76.0,84.47,1010.63,,5,231.0,7.09
overcast clouds,06/07/2019,Fri,84.29,77.0,84.29,1012.52,,5,244.0,4.12
overcast clouds,06/08/2019,Sat,83.9,76.0,83.9,1011.76,,5,198.0,3.67
overcast clouds,06/08/2019,Sat,83.67,75.0,83.67,1010.98,,5,177.0,8.79
overcast clouds,06/08/2019,Sat,83.9,76.0,83.9,1012.13,,5,185.0,10.11
broken clouds,06/08/2019,Sat,83.93,77.0,83.93,1013.26,,5,185.0,11.86
scattered clouds,06/08/2019,Sat,84.57,74.0,84.57,1012.96,,5,199.0,11.59
clear sky,06/08/2019,Sat,84.83,74.0,84.83,1011.74,,5,217.0,10.74
clear sky,06/08/2019,Sat,84.75,77.0,84.75,1012.58,,5,222.0,8.93
overcast clouds,06/08/2019,Sat,84.39,79.0,84.39,1013.72,,5,209.0,8.66
overcast clouds,06/09/2019,Sun,84.09,79.0,84.09,1012.64,,5,193.0,10.22
light rain,06/09/2019,Sun,83.88,79.0,83.88,1012.01,,5,191.0,12.53
light rain,06/09/2019,Sun,84.01,77.0,84.01,1013.44,,5,194.0,12.57
light rain,06/09/2019,Sun,84.47,75.0,84.47,1014.34,,5,201.0,13.35
moderate rain,06/09/2019,Sun,84.12,77.0,84.12,1013.55,,5,219.0,12.88
light rain,06/09/2019,Sun,84.79,78.0,84.79,1012.63,,5,216.0,13.29
moderate rain,06/09/2019,Sun,84.18,78.0,84.18,1013.73,,5,210.0,13.65
light rain,06/09/2019,Sun,84.41,78.0,84.41,1014.55,,5,189.0,15.1
overcast clouds,06/10/2019,Mon,84.5,78.0,84.5,1013.44,,5,202.0,17.18
light rain,06/10/2019,Mon,84.35,78.0,84.35,1012.55,,5,203.0,19.13
moderate rain,06/10/2019,Mon,84.47,76.0,84.47,1013.57,,5,215.0,18.57
light rain,06/10/2019,Mon,84.29,79.0,84.29,1014.1,,5,219.0,17.63
light rain,06/10/2019,Mon,84.55,79.0,84.55,1013.22,,5,213.0,20.15
clear sky,06/05/2019,Wed,83.25,16.0,82.22,1009.17,,6,289.0,11.3
clear sky,06/05/2019,Wed,82.04,18.0,81.27,1008.34,,6,297.0,11.99
clear sky,06/05/2019,Wed,69.67,26.0,69.15,1008.87,,6,6.0,4.54
clear sky,06/06/2019,Thu,68.13,26.0,67.87,1009.26,,6,91.0,7.49
clear sky,06/06/2019,Thu,63.95,35.0,63.95,1009.1,,6,131.0,8.23
clear sky,06/06/2019,Thu,61.43,43.0,61.43,1008.14,,6,158.0,7.09
clear sky,06/06/2019,Thu,74.98,33.0,74.98,1006.28,,6,163.0,12.26
clear sky,06/06/2019,Thu,86.32,29.0,86.32,1003.9,,6,173.0,13.71
scattered clouds,06/06/2019,Thu,91.0,21.0,91.0,1001.25,,6,169.0,13.38
few clouds,06/06/2019,Thu,90.46,21.0,90.46,998.55,,6,167.0,11.61
broken clouds,06/06/2019,Thu,79.79,31.0,79.79,997.68,,6,173.0,9.31
overcast clouds,06/07/2019,Fri,73.64,37.0,73.64,997.09,,6,184.0,6.35
overcast clouds,06/07/2019,Fri,71.33,38.0,71.33,997.33,,6,257.0,7.14
overcast clouds,06/07/2019,Fri,64.85,67.0,64.85,999.33,,6,309.0,8.99
overcast clouds,06/07/2019,Fri,67.76,59.0,67.76,1002.06,,6,319.0,14.54
overcast clouds,06/07/2019,Fri,73.52,46.0,73.52,1002.32,,6,334.0,15.66
overcast clouds,06/07/2019,Fri,76.54,37.0,76.54,1001.04,,6,0.0,10.22
light rain,06/07/2019,Fri,70.07,46.0,70.07,1002.2,,6,331.0,15.1
moderate rain,06/07/2019,Fri,54.23,59.0,54.23,1008.33,,6,320.0,25.77
light rain,06/08/2019,Sat,54.74,56.0,54.74,1011.84,,6,307.0,14.81
light rain,06/08/2019,Sat,54.87,53.0,54.87,1013.35,,6,274.0,8.68
broken clouds,06/08/2019,Sat,50.78,58.0,50.78,1014.51,,6,286.0,14.83
scattered clouds,06/08/2019,Sat,56.21,40.0,56.21,1015.46,,6,302.0,19.82
broken clouds,06/08/2019,Sat,59.55,36.0,59.55,1016.47,,6,288.0,11.59
overcast clouds,06/08/2019,Sat,62.51,31.0,62.51,1016.23,,6,296.0,7.67
overcast clouds,06/08/2019,Sat,62.25,34.0,62.25,1016.6,,6,353.0,6.26
broken clouds,06/08/2019,Sat,53.79,50.0,53.79,1018.9,,6,116.0,1.74
broken clouds,06/09/2019,Sun,53.13,47.0,53.13,1021.1,,6,286.0,6.55
broken clouds,06/09/2019,Sun,53.46,46.0,53.46,1022.78,,6,271.0,6.35
scattered clouds,06/09/2019,Sun,48.91,61.0,48.91,1024.72,,6,262.0,8.63
clear sky,06/09/2019,Sun,59.81,43.0,59.81,1024.58,,6,281.0,12.3
clear sky,06/09/2019,Sun,66.48,29.0,66.48,1023.11,,6,271.0,12.33
clear sky,06/09/2019,Sun,71.11,19.0,71.11,1021.16,,6,276.0,12.93
few clouds,06/09/2019,Sun,70.86,23.0,70.86,1021.13,,6,282.0,14.27
scattered clouds,06/09/2019,Sun,62.99,35.0,62.99,1021.58,,6,279.0,6.93
scattered clouds,06/10/2019,Mon,58.94,37.0,58.94,1022.76,,6,273.0,7.87
clear sky,06/10/2019,Mon,55.37,42.0,55.37,1024.42,,6,315.0,11.48
clear sky,06/10/2019,Mon,49.37,75.0,49.37,1027.3,,6,349.0,11.74
clear sky,06/10/2019,Mon,56.39,48.0,56.39,1027.75,,6,356.0,8.57
clear sky,06/10/2019,Mon,64.39,30.0,64.39,1025.95,,6,325.0,9.17
overcast clouds,06/05/2019,Wed,76.23,67.0,75.11,1007.91,,7,227.0,12.17
broken clouds,06/05/2019,Wed,69.08,87.0,68.23,1007.34,,7,235.0,8.32
light rain,06/05/2019,Wed,67.15,95.0,66.58,1008.32,,7,244.0,7.74
light rain,06/06/2019,Thu,65.07,99.0,64.8,1007.94,,7,251.0,5.79
light rain,06/06/2019,Thu,61.25,99.0,61.25,1008.97,,7,321.0,4.76
light rain,06/06/2019,Thu,57.11,96.0,57.11,1011.0,,7,355.0,4.83
overcast clouds,06/06/2019,Thu,69.58,67.0,69.58,1012.32,,7,353.0,3.83
overcast clouds,06/06/2019,Thu,76.96,55.0,76.96,1011.69,,7,336.0,4.07
overcast clouds,06/06/2019,Thu,75.7,59.0,75.7,1011.02,,7,346.0,6.24
overcast clouds,06/06/2019,Thu,67.78,83.0,67.78,1011.68,,7,15.0,4.94
overcast clouds,06/06/2019,Thu,59.09,97.0,59.09,1013.54,,7,19.0,4.14
scattered clouds,06/07/2019,Fri,55.46,98.0,55.46,1013.95,,7,26.0,3.89
few clouds,06/07/2019,Fri,53.51,98.0,53.51,1014.25,,7,24.0,3.78
scattered clouds,06/07/2019,Fri,58.55,92.0,58.55,1014.89,,7,34.0,5.39
scattered clouds,06/07/2019,Fri,72.44,59.0,72.44,1014.99,,7,53.0,6.29
few clouds,06/07/2019,Fri,78.92,40.0,78.92,1014.43,,7,48.0,7.0
scattered clouds,06/07/2019,Fri,79.96,38.0,79.96,1013.21,,7,40.0,8.1
broken clouds,06/07/2019,Fri,69.53,70.0,69.53,1013.88,,7,25.0,5.41
overcast clouds,06/07/2019,Fri,61.25,81.0,61.25,1016.62,,7,39.0,5.21
overcast clouds,06/08/2019,Sat,58.16,85.0,58.16,1016.73,,7,77.0,4.94
overcast clouds,06/08/2019,Sat,56.13,84.0,56.13,1016.93,,7,83.0,5.79
overcast clouds,06/08/2019,Sat,62.3,71.0,62.3,1018.29,,7,90.0,7.61
overcast clouds,06/08/2019,Sat,74.39,51.0,74.39,1018.49,,7,100.0,8.57
overcast clouds,06/08/2019,Sat,81.51,41.0,81.51,1018.2,,7,104.0,8.97
overcast clouds,06/08/2019,Sat,79.61,49.0,79.61,1016.67,,7,123.0,9.37
overcast clouds,06/08/2019,Sat,70.71,73.0,70.71,1017.59,,7,119.0,5.95
overcast clouds,06/08/2019,Sat,66.03,76.0,66.03,1018.6,,7,117.0,6.31
overcast clouds,06/09/2019,Sun,60.87,90.0,60.87,1018.71,,7,106.0,5.28
overcast clouds,06/09/2019,Sun,59.94,81.0,59.94,1019.1,,7,92.0,5.73
overcast clouds,06/09/2019,Sun,63.13,65.0,63.13,1019.61,,7,109.0,8.75
overcast clouds,06/09/2019,Sun,73.31,46.0,73.31,1019.31,,7,119.0,10.09
broken clouds,06/09/2019,Sun,79.8,40.0,79.8,1017.75,,7,131.0,10.56
overcast clouds,06/09/2019,Sun,74.89,51.0,74.89,1016.62,,7,138.0,10.8
overcast clouds,06/09/2019,Sun,67.98,63.0,67.98,1016.8,,7,118.0,8.32
light rain,06/09/2019,Sun,61.01,95.0,61.01,1016.45,,7,104.0,5.55
light rain,06/10/2019,Mon,59.66,95.0,59.66,1014.49,,7,85.0,6.35
overcast clouds,06/10/2019,Mon,59.15,96.0,59.15,1012.6,,7,91.0,6.38
overcast clouds,06/10/2019,Mon,65.21,91.0,65.21,1012.09,,7,120.0,6.76
overcast clouds,06/10/2019,Mon,75.83,66.0,75.83,1010.23,,7,134.0,4.85
light rain,06/10/2019,Mon,77.71,73.0,77.71,1008.09,,7,268.0,3.42
moderate rain,06/05/2019,Wed,88.18,68.0,85.23,1014.59,,8,253.0,6.15
overcast clouds,06/05/2019,Wed,86.77,74.0,84.56,1014.34,,8,271.0,4.0
light rain,06/05/2019,Wed,85.01,78.0,83.53,1015.37,,8,124.0,1.52
overcast clouds,06/06/2019,Thu,83.62,73.0,82.89,1014.43,,8,139.0,3.89
overcast clouds,06/06/2019,Thu,82.13,73.0,82.13,1012.76,,8,139.0,5.61
broken clouds,06/06/2019,Thu,82.31,71.0,82.31,1013.72,,8,156.0,4.61
light rain,06/06/2019,Thu,83.8,70.0,83.8,1014.19,,8,158.0,5.12
scattered clouds,06/06/2019,Thu,84.16,73.0,84.16,1013.39,,8,203.0,13.06
overcast clouds,06/06/2019,Thu,84.34,72.0,84.34,1012.23,,8,222.0,9.44
light rain,06/06/2019,Thu,83.8,72.0,83.8,1012.29,,8,262.0,6.67
broken clouds,06/06/2019,Thu,83.21,75.0,83.21,1013.42,,8,309.0,2.19
overcast clouds,06/07/2019,Fri,82.64,70.0,82.64,1012.32,,8,120.0,2.46
overcast clouds,06/07/2019,Fri,82.13,72.0,82.13,1011.22,,8,136.0,4.74
overcast clouds,06/07/2019,Fri,82.31,74.0,82.31,1011.79,,8,147.0,7.92
broken clouds,06/07/2019,Fri,83.96,74.0,83.96,1012.49,,8,168.0,12.1
broken clouds,06/07/2019,Fri,84.32,75.0,84.32,1011.91,,8,189.0,13.89
overcast clouds,06/07/2019,Fri,84.28,77.0,84.28,1010.35,,8,208.0,11.92
overcast clouds,06/07/2019,Fri,84.47,77.0,84.47,1010.67,,8,245.0,7.99
overcast clouds,06/07/2019,Fri,83.93,79.0,83.93,1012.29,,8,242.0,4.21
overcast clouds,06/08/2019,Sat,83.72,78.0,83.72,1011.4,,8,178.0,4.5
light rain,06/08/2019,Sat,83.85,77.0,83.85,1010.65,,8,174.0,7.38
moderate rain,06/08/2019,Sat,83.72,78.0,83.72,1011.75,,8,192.0,10.42
light rain,06/08/2019,Sat,84.65,76.0,84.65,1012.83,,8,208.0,13.09
light rain,06/08/2019,Sat,84.93,74.0,84.93,1012.48,,8,208.0,13.82
scattered clouds,06/08/2019,Sat,85.01,75.0,85.01,1011.41,,8,210.0,12.3
light rain,06/08/2019,Sat,84.57,77.0,84.57,1012.19,,8,210.0,9.62
light rain,06/08/2019,Sat,84.21,81.0,84.21,1013.12,,8,195.0,10.76
overcast clouds,06/09/2019,Sun,84.09,80.0,84.09,1012.09,,8,205.0,11.86
moderate rain,06/09/2019,Sun,84.06,76.0,84.06,1011.57,,8,215.0,12.77
light rain,06/09/2019,Sun,83.83,77.0,83.83,1012.77,,8,200.0,13.87
light rain,06/09/2019,Sun,84.11,76.0,84.11,1013.81,,8,196.0,14.16
light rain,06/09/2019,Sun,85.38,74.0,85.38,1012.96,,8,204.0,15.97
moderate rain,06/09/2019,Sun,84.43,76.0,84.43,1012.11,,8,225.0,17.96
heavy intensity rain,06/09/2019,Sun,83.28,78.0,83.28,1012.85,,8,235.0,17.49
heavy intensity rain,06/09/2019,Sun,83.15,77.0,83.15,1013.62,,8,216.0,16.02
light rain,06/10/2019,Mon,83.78,75.0,83.78,1012.53,,8,212.0,19.08
light rain,06/10/2019,Mon,83.99,77.0,83.99,1011.69,,8,215.0,20.71
moderate rain,06/10/2019,Mon,83.03,76.0,83.03,1012.77,,8,235.0,21.97
overcast clouds,06/10/2019,Mon,84.83,75.0,84.83,1013.11,,8,221.0,21.54
moderate rain,06/10/2019,Mon,84.19,76.0,84.19,1012.12,,8,229.0,24.25
